23 1:2409.337060 2:-4.941389 3:70.040407 4:-27.530042 5:-2.943252 6:-18.037249 7:-32.138689 8:-18.013419 9:-18.741034 10:0.714090 11:-13.596966 12:-9.644471 13:-14.284821 14:-5.293952 15:-7.998312 16:-6.691944 17:-0.982059 18:0.184272 19:0.197471 20:-0.250529 21:-2.539589 22:15.867561 23:21.469143 24:20.995164 25:15.450099 26:9.927928 27:0.382278 28:-13.480299 29:-13.404369 30:-15.694594 31:-14.803770 32:-4.880364 33:5.187509 34:3.797041 35:0.715734 36:-5.339215 37:-5.724439 38:-0.096049 39:-1.838461 40:-0.809475 
10 1:2351.042567 2:83.743029 3:-7.838050 4:-27.858892 5:-23.053678 6:-8.772781 7:-34.084152 8:-25.564978 9:-16.178214 10:-0.191536 11:2.782338 12:-13.448813 13:-18.873990 14:-14.835606 15:-3.098608 16:-0.036225 17:6.147406 18:8.639257 19:2.792662 20:-0.916129 21:0.490807 22:8.716162 23:12.776928 24:23.188098 25:20.438783 26:6.839202 27:2.941788 28:-7.609625 29:-14.690947 30:-13.175612 31:-11.087574 32:-1.760932 33:1.907228 34:2.916271 35:0.410572 36:-2.594287 37:-1.751064 38:-1.953168 39:-2.779077 40:-3.876291 
8 1:2341.014209 2:53.099966 3:16.164107 4:25.010605 5:-27.999019 6:-35.439650 7:-5.419307 8:-2.111598 9:-33.022727 10:-18.011677 11:-10.352366 12:-16.837276 13:-3.383071 14:-3.573572 15:-8.936323 16:-1.671481 17:0.579997 18:1.762322 19:9.445437 20:12.431570 21:12.552148 22:10.768062 23:14.682257 24:26.440239 25:13.905280 26:9.710771 27:-0.281740 28:-13.297323 29:-23.229794 30:-15.141435 31:-4.830222 32:2.084982 33:4.330814 34:4.121031 35:-3.118705 36:-6.256986 37:-7.943290 38:-4.019784 39:5.047595 40:10.254437 
7 1:2400.357953 2:80.702566 3:-12.166174 4:-20.771453 5:-14.420104 6:-8.046822 7:-22.195845 8:-7.831708 9:-13.195799 10:-5.476993 11:-7.315421 12:-17.577385 13:-22.982309 14:-11.601993 15:-5.990116 16:-4.653811 17:5.268660 18:1.765700 19:-2.247509 20:-3.508407 21:4.369932 22:14.749627 23:17.447903 24:27.411722 25:29.148337 26:10.282867 27:-1.901794 28:-13.666716 29:-24.306823 30:-19.750945 31:-17.287733 32:-8.074800 33:6.704516 34:11.353572 35:5.306622 36:-0.689467 37:-4.444342 38:-1.806478 39:-0.335344 40:3.958817 
7 1:2412.487835 2:70.574153 3:-15.994107 4:-16.797069 5:-14.429166 6:-13.458811 7:-17.658966 8:-10.424453 9:-13.317031 10:-4.800448 11:-6.756489 12:-20.558049 13:-19.981572 14:-11.785989 15:-6.348996 16:-0.502706 17:5.115999 18:2.010479 19:-0.845909 20:-3.285444 21:4.286849 22:16.923573 23:18.675229 24:25.875512 25:29.031254 26:10.509155 27:-3.229096 28:-15.502110 29:-23.580006 30:-21.907127 31:-18.513617 32:-7.911166 33:5.562121 34:10.018404 35:5.174649 36:-2.872270 37:-5.742753 38:-3.003839 39:-1.619464 40:3.762040 
14 1:2375.783570 2:65.791372 3:-32.120170 4:-32.487015 5:-22.483654 6:-21.304387 7:2.185607 8:7.334391 9:-18.741524 10:-17.809702 11:-12.653420 12:-19.460228 13:-24.737015 14:-21.616831 15:-20.565877 16:-5.464254 17:11.973507 18:17.381143 19:6.956700 20:1.689342 21:-2.563152 22:8.878521 23:11.573874 24:14.136760 25:15.657754 26:9.452324 27:2.288597 28:-2.785490 29:-0.407815 30:-11.837962 31:-11.986805 32:-3.082451 33:-2.195040 34:-2.389850 35:2.798536 36:8.668825 37:5.167483 38:-1.599333 39:-4.732163 40:-2.845511 
17 1:2415.923314 2:78.378210 3:-15.060918 4:-9.716568 5:-12.555648 6:-27.389114 7:-28.576335 8:-12.708507 9:-10.383169 10:-4.013313 11:-9.137583 12:-15.303706 13:-17.664847 14:-11.900002 15:-5.847546 16:-4.230607 17:-4.892914 18:2.404943 19:9.512042 20:3.712970 21:3.586623 22:15.889830 23:15.740345 24:16.654472 25:15.913757 26:9.019397 27:3.677834 28:-8.799958 29:-15.248730 30:-13.662303 31:-8.281778 32:1.352775 33:5.849983 34:5.839630 35:1.343351 36:-4.915894 37:-5.617408 38:-2.456479 39:7.565989 40:8.189821 
11 1:2398.703288 2:73.233146 3:-16.650751 4:-17.684829 5:-18.861544 6:-31.264836 7:-31.632943 8:-18.677192 9:-12.712767 10:0.922229 11:-1.413875 12:-14.589209 13:-16.127506 14:-9.161786 15:-8.756028 16:-1.272517 17:4.095299 18:0.241690 19:6.255608 20:5.054570 21:5.663942 22:18.331870 23:21.635125 24:23.562400 25:20.500871 26:8.681492 27:1.233455 28:-10.921884 29:-14.453202 30:-16.036476 31:-13.085073 32:-5.996091 33:5.269477 34:8.317478 35:1.390579 36:-7.143784 37:-7.049010 38:1.135927 39:5.814526 40:9.399370 
7 1:2402.675914 2:80.402117 3:-11.135749 4:-20.270198 5:-13.767025 6:-9.007741 7:-20.708557 8:-9.307983 9:-12.704688 10:-6.796502 11:-7.388386 12:-18.291925 13:-21.814109 14:-12.882177 15:-4.660900 16:-3.888709 17:4.937771 18:3.205026 19:-3.307418 20:-2.653148 21:2.957882 22:14.598700 23:15.885204 24:26.772357 25:28.552723 26:9.148309 27:-1.123614 28:-14.443886 29:-23.039332 30:-18.990629 31:-16.127347 32:-7.253494 33:7.000950 34:12.214488 35:4.906351 36:-2.122627 37:-4.619243 38:-3.187411 39:-1.718755 40:3.284303 
22 1:2411.106330 2:-26.588095 3:58.347842 4:-28.415859 5:-16.227222 6:-18.366301 7:-43.470416 8:-13.463664 9:-19.072345 10:3.688464 11:-5.700391 12:-13.575271 13:-1.949580 14:-9.864628 15:-2.387328 16:-7.569600 17:-4.325750 18:6.276032 19:-2.687438 20:3.009010 21:1.507289 22:10.828916 23:13.262412 24:15.270768 25:11.438208 26:7.147732 27:0.352434 28:-11.861540 29:-14.023259 30:-12.087800 31:-11.162338 32:-2.824565 33:1.374967 34:1.537916 35:0.209803 36:-5.593782 37:-5.901773 38:-0.026089 39:-0.333661 40:-0.136890 
